trial comp/dSemi comp/dEcc 
a25_e26 4809.680138 0.806897
a25_e27 4809.680138 0.837931
a25_e28 4809.680138 0.868966
a25_e29 4809.680138 0.900000
a26_e00 5462.099951 0.000000
a26_e01 5462.099951 0.031034
a26_e02 5462.099951 0.062069
a26_e03 5462.099951 0.093103
a26_e04 5462.099951 0.124138
a26_e05 5462.099951 0.155172
a26_e06 5462.099951 0.186207
a26_e07 5462.099951 0.217241
a26_e08 5462.099951 0.248276
a26_e09 5462.099951 0.279310
a26_e10 5462.099951 0.310345
a26_e11 5462.099951 0.341379
a26_e12 5462.099951 0.372414
a26_e13 5462.099951 0.403448
a26_e14 5462.099951 0.434483
a26_e15 5462.099951 0.465517
a26_e16 5462.099951 0.496552
a26_e17 5462.099951 0.527586
a26_e18 5462.099951 0.558621
a26_e19 5462.099951 0.589655
a26_e20 5462.099951 0.620690
a26_e21 5462.099951 0.651724
a26_e22 5462.099951 0.682759
a26_e23 5462.099951 0.713793
a26_e24 5462.099951 0.744828
a26_e25 5462.099951 0.775862
a26_e26 5462.099951 0.806897
a26_e27 5462.099951 0.837931
a26_e28 5462.099951 0.868966
a26_e29 5462.099951 0.900000
a27_e00 6203.018709 0.000000
a27_e01 6203.018709 0.031034
a27_e02 6203.018709 0.062069
a27_e03 6203.018709 0.093103
a27_e04 6203.018709 0.124138
a27_e05 6203.018709 0.155172
a27_e06 6203.018709 0.186207
a27_e07 6203.018709 0.217241
a27_e08 6203.018709 0.248276
a27_e09 6203.018709 0.279310
a27_e10 6203.018709 0.310345
a27_e11 6203.018709 0.341379
a27_e12 6203.018709 0.372414
a27_e13 6203.018709 0.403448
a27_e14 6203.018709 0.434483
a27_e15 6203.018709 0.465517
a27_e16 6203.018709 0.496552
a27_e17 6203.018709 0.527586
a27_e18 6203.018709 0.558621
a27_e19 6203.018709 0.589655
a27_e20 6203.018709 0.620690
a27_e21 6203.018709 0.651724
a27_e22 6203.018709 0.682759
a27_e23 6203.018709 0.713793
